"","ReLM","ReGLM","Random Forest","Autre"
"Average IB error",5.00158153430313e-15,1.33161793947436,0,0
"Sigma IB error (RMSE)",43.3908499357857,34.5021852841348,0,0
"Adjusted R-squared",0.521224131412856,0.693484257843124,0,0
"Average OB error",0.321817522855258,0.19916679850756,0,0
"Sigma OB error (RMSE)",42.3094613538639,42.522671571105,0,0
